Timestamp,Game Number,Your Name or Discord Name,Among Us Username,Platform,Color,Were you the / an Imposter?,Did you get a Victory?,Did you die?,Rage Comments
9/26/2020 21:13:30,1,archergirl15,meg,Windows PC,Purple,No,No,Yes,
9/26/2020 21:13:32,1,Erik,nevererik,Windows PC,Red,Yes,Yes,No,
9/26/2020 21:13:38,1,Dot,Dot,Windows PC,Green,No,No,No,
9/26/2020 21:13:41,1,bluesky292,bananas,Windows PC,Pink,No,No,No,
9/26/2020 21:14:24,1,FlyingPanda,PandaSUS,Windows PC,Blue,No,No,,
9/26/2020 21:19:10,2,archergirl15,meg,Windows PC,Purple,No,Yes,No,
9/26/2020 21:19:14,2,FlyingPanda,PandaSUS,Windows PC,Blue,No,Yes,Yes,
9/26/2020 21:19:23,2,Dot,Dot,Windows PC,Green,No,Yes,No,
9/26/2020 21:19:50,2,bluesky292,bananas,Windows PC,Pink,No,Yes,Yes,
9/26/2020 21:20:05,2,erik,nevererik,Windows PC,Red,Yes,No,Yes,
9/26/2020 21:20:10,2,Riptide,Riptide,Windows PC,Black,No,Yes,No,
9/26/2020 21:26:14,3,FlyingPanda,PandaSUS,Windows PC,Blue,No,Yes,No,
9/26/2020 21:26:25,3,bluesky292,bananas,Windows PC,Pink,Yes,No,No,
9/26/2020 21:26:26,3,Riptide,Riptide,Windows PC,Black,No,Yes,No,
9/26/2020 21:26:27,3,Dot,Dot,Windows PC,Green,No,Yes,Yes,
9/26/2020 21:26:27,3,archergirl15,meg,Windows PC,Purple,No,Yes,Yes,
9/26/2020 21:26:50,3,erik,nevererik,Windows PC,Red,No,Yes,No,
9/26/2020 21:33:06,4,archergirl15,meg,Windows PC,Purple,No,No,Yes,
9/26/2020 21:33:08,4,FlyingPanda,PandaSUS,Windows PC,Blue,Yes,Yes,No,
9/26/2020 21:33:11,4,bluesky292,bananas,Windows PC,Pink,No,No,Yes,
9/26/2020 21:33:18,4,Riptide,Riptide,Windows PC,Black,No,No,Yes,
9/26/2020 21:33:20,4,Dot,Dot,Windows PC,Green,No,No,Yes,
9/26/2020 21:33:38,4,erik,nevererik,Windows PC,Red,No,No,Yes,
9/26/2020 21:39:03,5,FlyingPanda,PandaSUS,Windows PC,Blue,No,No,Yes,
9/26/2020 21:39:11,5,archergirl15,meg,Windows PC,Purple,Yes,Yes,No,
9/26/2020 21:39:14,5,Dot,Dot,Windows PC,Green,No,No,Yes,
9/26/2020 21:39:24,5,Riptide,Riptide,Windows PC,Black,No,No,Yes,
9/26/2020 21:39:33,5,erik,nevererik,Windows PC,Red,No,No,No,
